RUN,TR,CU,FNAM,PDAT,HWAH,w
1,1,1,ZASP0001,1979288,4332,0.1
2,1,1,ZASP0001,1980288,3468,0.1
3,1,1,ZASP0001,1981288,3212,0.1
4,1,1,ZASP0001,1982288,3906,0.1
5,1,1,ZASP0001,1983288,2048,0.1
6,1,1,ZASP0001,1984288,3267,0.1
7,1,1,ZASP0001,1985288,3959,0.1
8,1,1,ZASP0001,1986288,3643,0.1
9,1,1,ZASP0001,1987288,2815,0.1
10,1,1,ZASP0001,1988288,3799,0.1
11,1,1,ZASP0001,1989288,2550,0.1
12,1,1,ZASP0001,1990288,3113,0.1
13,1,1,ZASP0001,1991288,3965,0.1
14,1,1,ZASP0001,1992288,3954,0.1
15,1,1,ZASP0001,1993288,3350,0.1
16,1,1,ZASP0001,1994288,1908,0.1
17,1,1,ZASP0001,1995288,2910,0.1
18,1,1,ZASP0001,1996288,3343,0.1
19,1,1,ZASP0001,1997288,3418,0.1
20,1,1,ZASP0001,1998288,3679,0.1
21,1,1,ZASP0001,1999288,3267,0.1
22,1,1,ZASP0001,2000288,3519,0.1
23,1,1,ZASP0001,2001288,3673,0.1
24,1,1,ZASP0001,2002288,2553,0.1
25,1,1,ZASP0001,2003288,3801,0.1
26,1,1,ZASP0001,2004288,3654,0.1
27,1,1,ZASP0001,2005288,3886,0.1
28,1,1,ZASP0001,2006288,4318,0.1
29,1,1,ZASP0001,2007288,3994,0.1
30,1,1,ZASP0001,2008288,3274,0.1
31,1,1,ZASP0001,2009288,3871,0.1
32,2,1,ZASP0001,1979303,3980,0.1
33,2,1,ZASP0001,1980303,4373,0.1
34,2,1,ZASP0001,1981303,4279,0.1
35,2,1,ZASP0001,1982303,4044,0.1
36,2,1,ZASP0001,1983303,2603,0.1
37,2,1,ZASP0001,1984303,3258,0.1
38,2,1,ZASP0001,1985303,3536,0.1
39,2,1,ZASP0001,1986303,3949,0.1
40,2,1,ZASP0001,1987303,3367,0.1
41,2,1,ZASP0001,1988303,4262,0.1
42,2,1,ZASP0001,1989303,3909,0.1
43,2,1,ZASP0001,1990303,4075,0.1
44,2,1,ZASP0001,1991303,4195,0.1
45,2,1,ZASP0001,1992303,4109,0.1
46,2,1,ZASP0001,1993303,4543,0.1
47,2,1,ZASP0001,1994303,3113,0.1
48,2,1,ZASP0001,1995303,3589,0.1
49,2,1,ZASP0001,1996303,3966,0.1
50,2,1,ZASP0001,1997303,4452,0.1
51,2,1,ZASP0001,1998303,3415,0.1
52,2,1,ZASP0001,1999303,3721,0.1
53,2,1,ZASP0001,2000303,3239,0.1
54,2,1,ZASP0001,2001303,3515,0.1
55,2,1,ZASP0001,2002303,3621,0.1
56,2,1,ZASP0001,2003303,3974,0.1
57,2,1,ZASP0001,2004303,3325,0.1
58,2,1,ZASP0001,2005303,4005,0.1
59,2,1,ZASP0001,2006303,4053,0.1
60,2,1,ZASP0001,2007303,3792,0.1
61,2,1,ZASP0001,2008303,4295,0.1
62,2,1,ZASP0001,2009303,4321,0.1
63,3,1,ZASP0001,1979318,4072,0.1
64,3,1,ZASP0001,1980318,3946,0.1
65,3,1,ZASP0001,1981318,4453,0.1
66,3,1,ZASP0001,1982318,3634,0.1
67,3,1,ZASP0001,1983318,4089,0.1
68,3,1,ZASP0001,1984318,4006,0.1
69,3,1,ZASP0001,1985318,3829,0.1
70,3,1,ZASP0001,1986318,3908,0.1
71,3,1,ZASP0001,1987318,3808,0.1
72,3,1,ZASP0001,1988318,3744,0.1
73,3,1,ZASP0001,1989318,3830,0.1
74,3,1,ZASP0001,1990318,3686,0.1
75,3,1,ZASP0001,1991318,3770,0.1
76,3,1,ZASP0001,1992318,3309,0.1
77,3,1,ZASP0001,1993318,3932,0.1
78,3,1,ZASP0001,1994318,3705,0.1
79,3,1,ZASP0001,1995318,3746,0.1
80,3,1,ZASP0001,1996318,3620,0.1
81,3,1,ZASP0001,1997318,4237,0.1
82,3,1,ZASP0001,1998318,3373,0.1
83,3,1,ZASP0001,1999318,3673,0.1
84,3,1,ZASP0001,2000318,3582,0.1
85,3,1,ZASP0001,2001318,3893,0.1
86,3,1,ZASP0001,2002318,3578,0.1
87,3,1,ZASP0001,2003318,3810,0.1
88,3,1,ZASP0001,2004318,2948,0.1
89,3,1,ZASP0001,2005318,3313,0.1
90,3,1,ZASP0001,2006318,3496,0.1
91,3,1,ZASP0001,2007318,3863,0.1
92,3,1,ZASP0001,2008318,3698,0.1
93,3,1,ZASP0001,2009318,3676,0.1
94,4,1,ZASP0001,1979333,4336,0.1
95,4,1,ZASP0001,1980333,4096,0.1
96,4,1,ZASP0001,1981333,4236,0.1
97,4,1,ZASP0001,1982333,4226,0.1
98,4,1,ZASP0001,1983333,4468,0.1
99,4,1,ZASP0001,1984333,3585,0.1
100,4,1,ZASP0001,1985333,3823,0.1
101,4,1,ZASP0001,1986333,4103,0.1
102,4,1,ZASP0001,1987333,4016,0.1
103,4,1,ZASP0001,1988333,3702,0.1
104,4,1,ZASP0001,1989333,3663,0.1
105,4,1,ZASP0001,1990333,3705,0.1
106,4,1,ZASP0001,1991333,4013,0.1
107,4,1,ZASP0001,1992333,4095,0.1
108,4,1,ZASP0001,1993333,4046,0.1
109,4,1,ZASP0001,1994333,3898,0.1
110,4,1,ZASP0001,1995333,3503,0.1
111,4,1,ZASP0001,1996333,3624,0.1
112,4,1,ZASP0001,1997333,3225,0.1
113,4,1,ZASP0001,1998333,3341,0.1
114,4,1,ZASP0001,1999333,3328,0.1
115,4,1,ZASP0001,2000333,3985,0.1
116,4,1,ZASP0001,2001333,3963,0.1
117,4,1,ZASP0001,2002333,3940,0.1
118,4,1,ZASP0001,2003333,3553,0.1
119,4,1,ZASP0001,2004333,3517,0.1
120,4,1,ZASP0001,2005333,3175,0.1
121,4,1,ZASP0001,2006333,3952,0.1
122,4,1,ZASP0001,2007333,3051,0.1
123,4,1,ZASP0001,2008333,3480,0.1
124,4,1,ZASP0001,2009333,3953,0.1
125,5,1,ZASP0001,1979348,3804,0.1
126,5,1,ZASP0001,1980348,3778,0.1
127,5,1,ZASP0001,1981348,3802,0.1
128,5,1,ZASP0001,1982348,3558,0.1
129,5,1,ZASP0001,1983348,4026,0.1
130,5,1,ZASP0001,1984348,3227,0.1
131,5,1,ZASP0001,1985348,3804,0.1
132,5,1,ZASP0001,1986348,4154,0.1
133,5,1,ZASP0001,1987348,4189,0.1
134,5,1,ZASP0001,1988348,3366,0.1
135,5,1,ZASP0001,1989348,3418,0.1
136,5,1,ZASP0001,1990348,3401,0.1
137,5,1,ZASP0001,1991348,3511,0.1
138,5,1,ZASP0001,1992348,4260,0.1
139,5,1,ZASP0001,1993348,3903,0.1
140,5,1,ZASP0001,1994348,4006,0.1
141,5,1,ZASP0001,1995348,3551,0.1
142,5,1,ZASP0001,1996348,3247,0.1
143,5,1,ZASP0001,1997348,2890,0.1
144,5,1,ZASP0001,1998348,3243,0.1
145,5,1,ZASP0001,1999348,3715,0.1
146,5,1,ZASP0001,2000348,3889,0.1
147,5,1,ZASP0001,2001348,3697,0.1
148,5,1,ZASP0001,2002348,3398,0.1
149,5,1,ZASP0001,2003348,3232,0.1
150,5,1,ZASP0001,2004348,3283,0.1
151,5,1,ZASP0001,2005348,3253,0.1
152,5,1,ZASP0001,2006348,4118,0.1
153,5,1,ZASP0001,2007348,2718,0.1
154,5,1,ZASP0001,2008348,3526,0.1
155,5,1,ZASP0001,2009348,3420,0.1
156,6,1,ZASP0001,1979363,4907,0.1
157,6,1,ZASP0001,1980363,3827,0.1
158,6,1,ZASP0001,1981363,3722,0.1
159,6,1,ZASP0001,1982363,4467,0.1
160,6,1,ZASP0001,1983363,4625,0.1
161,6,1,ZASP0001,1984363,3608,0.1
162,6,1,ZASP0001,1985363,4017,0.1
163,6,1,ZASP0001,1986363,4214,0.1
164,6,1,ZASP0001,1987363,3628,0.1
165,6,1,ZASP0001,1988363,3066,0.1
166,6,1,ZASP0001,1989363,3921,0.1
167,6,1,ZASP0001,1990363,3766,0.1
168,6,1,ZASP0001,1991363,4331,0.1
169,6,1,ZASP0001,1992363,3616,0.1
170,6,1,ZASP0001,1993363,4195,0.1
171,6,1,ZASP0001,1994363,3797,0.1
172,6,1,ZASP0001,1995363,3766,0.1
173,6,1,ZASP0001,1996363,3573,0.1
174,6,1,ZASP0001,1997363,4047,0.1
175,6,1,ZASP0001,1998363,3783,0.1
176,6,1,ZASP0001,1999363,3578,0.1
177,6,1,ZASP0001,2000363,3306,0.1
178,6,1,ZASP0001,2001363,3881,0.1
179,6,1,ZASP0001,2002363,3600,0.1
180,6,1,ZASP0001,2003363,3769,0.1
181,6,1,ZASP0001,2004363,3866,0.1
182,6,1,ZASP0001,2005363,3481,0.1
183,6,1,ZASP0001,2006363,4461,0.1
184,6,1,ZASP0001,2007363,3087,0.1
185,6,1,ZASP0001,2008363,4827,0.1
186,6,1,ZASP0001,2009363,3955,0.1
187,7,1,ZASP0001,1980013,4269,0.1
188,7,1,ZASP0001,1981013,3875,0.1
189,7,1,ZASP0001,1982013,3835,0.1
190,7,1,ZASP0001,1983013,4306,0.1
191,7,1,ZASP0001,1984013,4610,0.1
192,7,1,ZASP0001,1985013,3893,0.1
193,7,1,ZASP0001,1986013,4280,0.1
194,7,1,ZASP0001,1987013,4102,0.1
195,7,1,ZASP0001,1988013,3769,0.1
196,7,1,ZASP0001,1989013,3374,0.1
197,7,1,ZASP0001,1990013,4384,0.1
198,7,1,ZASP0001,1991013,4117,0.1
199,7,1,ZASP0001,1992013,4439,0.1
200,7,1,ZASP0001,1993013,4054,0.1
201,7,1,ZASP0001,1994013,3983,0.1
202,7,1,ZASP0001,1995013,3623,0.1
203,7,1,ZASP0001,1996013,3683,0.1
204,7,1,ZASP0001,1997013,3897,0.1
205,7,1,ZASP0001,1998013,3504,0.1
206,7,1,ZASP0001,1999013,3883,0.1
207,7,1,ZASP0001,2000013,3292,0.1
208,7,1,ZASP0001,2001013,3369,0.1
209,7,1,ZASP0001,2002013,3709,0.1
210,7,1,ZASP0001,2003013,3579,0.1
211,7,1,ZASP0001,2004013,3361,0.1
212,7,1,ZASP0001,2005013,3416,0.1
213,7,1,ZASP0001,2006013,3271,0.1
214,7,1,ZASP0001,2007013,4451,0.1
215,7,1,ZASP0001,2008013,3840,0.1
216,7,1,ZASP0001,2009013,4755,0.1
217,7,1,ZASP0001,2010013,4031,0.1
218,8,1,ZASP0001,1980028,4797,0.1
219,8,1,ZASP0001,1981028,4806,0.1
220,8,1,ZASP0001,1982028,4842,0.1
221,8,1,ZASP0001,1983028,4496,0.1
222,8,1,ZASP0001,1984028,4139,0.1
223,8,1,ZASP0001,1985028,3675,0.1
224,8,1,ZASP0001,1986028,4051,0.1
225,8,1,ZASP0001,1987028,4277,0.1
226,8,1,ZASP0001,1988028,3899,0.1
227,8,1,ZASP0001,1989028,3676,0.1
228,8,1,ZASP0001,1990028,4229,0.1
229,8,1,ZASP0001,1991028,4215,0.1
230,8,1,ZASP0001,1992028,4274,0.1
231,8,1,ZASP0001,1993028,4204,0.1
232,8,1,ZASP0001,1994028,3960,0.1
233,8,1,ZASP0001,1995028,4725,0.1
234,8,1,ZASP0001,1996028,4075,0.1
235,8,1,ZASP0001,1997028,4047,0.1
236,8,1,ZASP0001,1998028,3950,0.1
237,8,1,ZASP0001,1999028,4041,0.1
238,8,1,ZASP0001,2000028,3747,0.1
239,8,1,ZASP0001,2001028,3589,0.1
240,8,1,ZASP0001,2002028,3831,0.1
241,8,1,ZASP0001,2003028,3874,0.1
242,8,1,ZASP0001,2004028,3806,0.1
243,8,1,ZASP0001,2005028,4269,0.1
244,8,1,ZASP0001,2006028,3798,0.1
245,8,1,ZASP0001,2007028,4223,0.1
246,8,1,ZASP0001,2008028,4435,0.1
247,8,1,ZASP0001,2009028,4127,0.1
248,8,1,ZASP0001,2010028,3807,0.1
249,9,2,ZASP0001,1979288,4088,0.1
250,9,2,ZASP0001,1980288,3359,0.1
251,9,2,ZASP0001,1981288,3265,0.1
