district,district_check,merge,province,year,mz_ha_dry,mz_ha_irr,mz_pr_dry,mz_pr_irr,wh_ha_dry,wh_ha_irr,wh_pr_dry,wh_pr_irr
Aberdeen,Aberdeen,,Eastern Cape,2007,,258,,903,199,,368,
Adelaide,Adelaide,,Eastern Cape,2007,53,,127,,,,,
Albany,Albany,,Eastern Cape,2007,12,12,23,84,,,,
Albert,Albert,,Eastern Cape,2007,,36,,140,70,,103,
Alberton,Alberton,,Gauteng,2007,2307,575,5860,2810,,40,,220
Alexandria,Alexandria,,Eastern Cape,2007,57,,123,,,,,
Alfred,Alfred,,KwaZulu-Natal,2007,855,150,2623,870,,,,
Aliwal North,Aliwal North,,Eastern Cape,2007,569,448,1094,4010,240,259,409,575
Amersfoort,Amersfoort,,Mpumalanga,2007,12026,647,47004,1735,50,160,120,830
Balfour,Balfour,,Mpumalanga,2007,18600,3087,66766,9944,360,13,730,45
Barberton,Barberton,s1,Mpumalanga,2007,2804,342,10053,2107,,,,
Barkly East,Barkly East,,Eastern Cape,2007,60,,360,,500,,1005,
Barkly West,Barkly West,,Northern Cape,2007,185,1801,702,17189,219,1340,212,6384
Bathurst,Bathurst,,Eastern Cape,2007,,,,,,,,
Beaufort West,Beaufort West,,Western Cape,2007,,,,,,,,
Bedford,Bedford,,Eastern Cape,2007,,77,,710,,,,
Belfast,Belfast,,Mpumalanga,2007,7140,570,27562,3943,,77,,425
Bellville,Bellville,,Western Cape,2007,,,,,2271,,6546,
Benoni,Benoni,,Gauteng,2007,,,,,,,,
Bergville,Bergville,,KwaZulu-Natal,2007,5319,3760,21670,25617,553,1544,1348,7232
Bethal,Bethal,,Mpumalanga,2007,19819,1440,72994,4161,,30,,75
Bethlehem,Bethlehem,,Free State,2007,37691,1537,112818,8591,29654,886,74354,5298
Bethulie,Bethulie,,Free State,2007,41,57,127,275,,,,
Bloemfontein,Bloemfontein,,Free State,2007,34875,3300,92011,17111,17427,1181,38653,5808
Bochum,Bochum,,Limpopo,2007,497,417,2260,4114,54,267,70,1069
Boksburg,Boksburg,,Gauteng,2007,,,,,,,,
Boshof,Boshof,,Free State,2007,16111,1687,38338,15333,2724,308,4948,1506
Bothaville,Bothaville,,Free State,2007,109018,1066,349831,5669,6883,247,18140,914
Brakpan,Brakpan,,Gauteng,2007,700,,1623,,,,,
Brandfort,Brandfort,,Free State,2007,10219,587,24206,4627,6437,605,6890,2706
Bredasdorp,Bredasdorp,,Western Cape,2007,8735,365,31047,1775,10149,2018,21764,8121
Brits,Brits,,North West,2007,25093,8719,70384,22294,1209,5892,3287,27795
Britstown,Britstown,,Northern Cape,2007,169,377,437,4734,60,172,171,1418
Bronkhorstspruit,Bronkhorstspruit,,Gauteng,2007,10891,850,32349,7209,94,131,265,718
Bultfontein,Bultfontein,,Free State,2007,54785,2534,186585,13588,9657,1489,28697,4744
Butterworth,Butterworth,,Eastern Cape,2007,,,,,,,,
Caledon,Caledon,,Western Cape,2007,5662,200,18303,1820,21362,1307,55384,4844
Calitzdorp,Calitzdorp,,Western Cape,2007,,,,,,,,
Calvinia,Calvinia,,Northern Cape,2007,180,,297,,2976,232,5891,638
Camperdown,Camperdown,,KwaZulu-Natal,2007,,266,,2660,,,,
Carnarvon,Carnarvon,,Northern Cape,2007,,87,,1012,,,,
Carolina,Carolina,,Mpumalanga,2007,8927,418,35064,2895,,,,
Cathcart,Cathcart,,Eastern Cape,2007,,,,,,,,
Ceres,Ceres,,Western Cape,2007,,,,,2656,,6698,
